number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
1109, 0.362394, 0.169279, 0.176058, 0.112122, 0.0928, 0.070327, 0.01702, 0.714469, 0.573569, 0.700751, 0.573308, 19.92
1110, 0.366622, 0.168943, 0.158723, 0.128959, 0.092562, 0.066086, 0.018105, 0.348656, 0.45926, 0.64755, 0.676438, 21.1
1111, 0.361123, 0.17134, 0.169605, 0.122028, 0.090121, 0.071187, 0.014596, 0.57114, 0.416145, 0.574089, 0.580045, 19.24
1112, 0.379984, 0.17425, 0.160879, 0.110525, 0.086097, 0.076004, 0.01226, 0.415069, 0.521808, 0.612275, 0.500042, 17.67
1113, 0.348883, 0.177721, 0.179369, 0.120753, 0.096576, 0.069306, 0.007392, 0.451108, 0.54137, 0.51614, 0.442856, 17.51
1114, 0.382753, 0.174815, 0.157948, 0.113072, 0.086887, 0.070224, 0.014301, 0.410415, 0.450397, 0.554709, 0.529706, 18.35
1115, 0.371583, 0.167031, 0.151567, 0.118638, 0.108156, 0.068987, 0.014038, 0.528, 0.582083, 0.72301, 0.441838, 19.98
1116, 0.362206, 0.175606, 0.169665, 0.112234, 0.095558, 0.067407, 0.017324, 0.637498, 0.444324, 0.627176, 0.638729, 18.69
1117, 0.355455, 0.171976, 0.172279, 0.11592, 0.095757, 0.074134, 0.014478, 0.445033, 0.481149, 0.592918, 0.494284, 18.92
1118, 0.367483, 0.170935, 0.168412, 0.118549, 0.09379, 0.066544, 0.014285, 0.630683, 0.436848, 0.555803, 0.520487, 16.94
1119, 0.361341, 0.171913, 0.165958, 0.121273, 0.098524, 0.063143, 0.017848, 0.726241, 0.383599, 0.624914, 0.675991, 16.19
1120, 0.362838, 0.169673, 0.168136, 0.118574, 0.096729, 0.065425, 0.018625, 0.586207, 0.348065, 0.679652, 0.704587, 18.34
1121, 0.367107, 0.16547, 0.155721, 0.120242, 0.107814, 0.071423, 0.012223, 0.521058, 0.655666, 0.634126, 0.384326, 16.84
1122, 0.374387, 0.170622, 0.167176, 0.110634, 0.09081, 0.070655, 0.015715, 0.699779, 0.489003, 0.635004, 0.627619, 17.32
1123, 0.369445, 0.172865, 0.16833, 0.105381, 0.093709, 0.07306, 0.01721, 0.759863, 0.447985, 0.584647, 0.458519, 18.79
1124, 0.369122, 0.169404, 0.171304, 0.114095, 0.089824, 0.071654, 0.014597, 0.505115, 0.281085, 0.541021, 0.566064, 18.43
