number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
2133, 0.339924, 0.174014, 0.158277, 0.13619, 0.103377, 0.070311, 0.017908, 0.646827, 0.685106, 0.615882, 0.401061, 20.38
2134, 0.336344, 0.178563, 0.156726, 0.137406, 0.10763, 0.065862, 0.01747, 0.684519, 0.759383, 0.766127, 0.449355, 20.98
2135, 0.377801, 0.179985, 0.149641, 0.117463, 0.091475, 0.066359, 0.017276, 0.540135, 0.509175, 0.551651, 0.518874, 19.96
2136, 0.357695, 0.171493, 0.164028, 0.122187, 0.103828, 0.072199, 0.008571, 0.573306, 0.475634, 0.51632, 0.483259, 16.35
2137, 0.38287, 0.18115, 0.141373, 0.118207, 0.09342, 0.069002, 0.013977, 0.566213, 0.608494, 0.648858, 0.423652, 19.87
2138, 0.377639, 0.181, 0.140182, 0.11883, 0.099863, 0.067457, 0.015029, 0.506701, 0.604887, 0.681579, 0.422244, 19.64
2139, 0.357864, 0.174973, 0.161721, 0.120589, 0.100922, 0.075352, 0.008578, 0.495537, 0.728494, 0.476425, 0.294629, 19.01
2140, 0.349177, 0.172773, 0.163749, 0.12775, 0.102327, 0.076642, 0.007582, 0.534286, 0.682793, 0.65467, 0.373685, 19.05
2141, 0.333095, 0.167135, 0.172073, 0.131505, 0.103603, 0.078272, 0.014318, 0.462716, 0.623377, 0.602716, 0.574948, 17.39
2142, 0.337754, 0.177065, 0.178539, 0.126867, 0.100672, 0.068804, 0.010298, 0.478986, 0.577383, 0.751876, 0.639848, 18.74
2143, 0.331431, 0.173512, 0.162993, 0.137197, 0.104412, 0.07239, 0.018065, 0.463016, 0.508297, 0.431629, 0.443052, 16.38
2144, 0.352382, 0.165555, 0.14976, 0.136814, 0.107365, 0.068808, 0.019316, 0.39905, 0.519063, 0.482894, 0.318225, 18.58
2145, 0.357992, 0.17299, 0.154621, 0.132112, 0.098331, 0.067803, 0.016151, 0.639675, 0.618943, 0.640327, 0.48571, 17.83
2146, 0.349563, 0.167276, 0.146735, 0.138738, 0.1066, 0.072069, 0.019019, 0.660867, 0.593725, 0.630171, 0.466503, 18.24
2147, 0.368319, 0.16534, 0.143117, 0.143434, 0.097556, 0.061126, 0.021107, 0.397618, 0.409651, 0.315929, 0.295787, 19.42
2148, 0.364275, 0.174828, 0.164618, 0.117005, 0.100545, 0.068016, 0.010713, 0.557706, 0.50669, 0.540819, 0.481869, 18.51
2149, 0.363803, 0.168454, 0.144146, 0.136327, 0.103701, 0.065696, 0.017875, 0.627728, 0.424134, 0.545081, 0.366438, 17.99
2150, 0.368468, 0.171689, 0.151294, 0.12591, 0.098986, 0.065642, 0.018011, 0.530675, 0.606362, 0.50411, 0.299366, 16.98
2151, 0.328048, 0.174404, 0.172929, 0.137584, 0.101298, 0.070249, 0.015488, 0.614395, 0.701116, 0.724288, 0.467685, 19.47
2152, 0.355183, 0.168205, 0.153946, 0.128585, 0.108895, 0.068724, 0.016461, 0.554062, 0.597737, 0.578119, 0.277156, 19.92
2153, 0.365021, 0.165938, 0.144513, 0.134714, 0.102539, 0.064715, 0.022559, 0.720747, 0.638709, 0.585052, 0.34903, 18.51
2154, 0.349987, 0.170403, 0.152188, 0.137845, 0.098577, 0.071458, 0.019542, 0.473131, 0.474415, 0.454365, 0.415521, 20.57
2155, 0.359451, 0.16723, 0.155422, 0.123813, 0.10347, 0.070397, 0.020217, 0.822742, 0.595201, 0.685258, 0.562447, 20.27
2156, 0.38047, 0.170689, 0.155455, 0.122441, 0.094976, 0.068096, 0.007873, 0.517467, 0.648114, 0.464564, 0.464767, 15.99
2157, 0.374024, 0.165335, 0.16073, 0.120361, 0.099685, 0.071656, 0.008209, 0.656081, 0.602088, 0.520708, 0.463223, 17.68
2158, 0.361723, 0.171301, 0.166334, 0.121819, 0.096698, 0.074077, 0.008048, 0.69596, 0.641977, 0.556855, 0.43476, 18.8
2159, 0.382214, 0.174424, 0.163913, 0.109692, 0.088799, 0.070446, 0.010512, 0.343059, 0.388474, 0.524534, 0.534921, 17.95
2160, 0.3688, 0.16667, 0.156128, 0.12361, 0.095338, 0.067681, 0.021772, 0.616302, 0.364374, 0.577293, 0.666683, 20.07
2161, 0.391901, 0.171452, 0.142138, 0.114958, 0.090606, 0.072072, 0.016873, 0.486411, 0.501559, 0.643881, 0.625116, 18.47
2162, 0.357595, 0.171367, 0.157839, 0.132708, 0.097657, 0.074302, 0.008531, 0.448969, 0.49316, 0.410409, 0.326064, 18.19
2163, 0.378927, 0.177641, 0.145128, 0.119642, 0.099881, 0.064189, 0.014593, 0.378897, 0.570222, 0.660394, 0.461651, 20.89
