ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outerwear
6127, #6127, Pink, Stark, Green, Small, Open, , Captain's Cap, 
6128, #6128, Pink, Guardian, Green, Small, Open, Half-moon Spectacles, , 
6129, #6129, Purple, Crescent, Blue, Short, Angry, , Mohawk (Pink), 
6130, #6130, Green, Guardian, Brown, Small, Angry, , , Jean Jacket
6131, #6131, Pink, Guardian, Green, Short, Open, , Space Helmet, 
6132, #6132, Yellow, Stark, Red, Small, Side-eye, Eyepatch, Mohawk (Pink), 
6133, #6133, Pink, Crescent, Blue, Small, , 3D Glasses, Tiara, 
6134, #6134, Gray, Crescent, Black, Long, , Black-rimmed Glasses, Beanie, 
6135, #6135, Gray, Guardian, Blue, Short, Open, , , Punk Jacket
6136, #6136, Purple, Crescent, Purple, Small, Angry, , Cowboy Hat, 
6137, #6137, Gray, Crescent, Red, Small, Open, , Beanie, Jean Jacket
6138, #6138, Purple, Brave, White, Small, Angry, , Grail, 
6139, #6139, Green, Crescent, Purple, Small, Open, , , Gold Chain
6140, #6140, Purple, Crescent, Black, Short, Side-eye, , Karate Band, 
6141, #6141, Blue, Crescent, Gray, Short, Side-eye, , Bucket Hat, 
6142, #6142, Gray, Crescent, Brown, Long, Angry, , Wizard's Hat, 
6143, #6143, Gray, Crescent, White, Short, , Visor, Beanie, 
6144, #6144, Yellow, Crescent, Purple, Small, Open, , Fire, 
6145, #6145, Yellow, Tranquil, Green, Small, Side-eye, , , Punk Jacket
6146, #6146, Green, Crescent, Red, Short, Relaxed, , Raincloud, 
6147, #6147, Blue, Tabby, White, Short, Open, , Backwards Hat, 
6148, #6148, Gray, Stark, Purple, Small, Angry, , Queen's Crown, 
6149, #6149, Yellow, Guardian, Brown, Short, Angry, Eyepatch, , 
6150, #6150, Pink, Crescent, Green, Long, Side-eye, , Lincoln, 
6151, #6151, Blue, Crescent, Brown, Small, Open, , Aviator's Cap, 
6152, #6152, Green, Emperor, Red, Small, Adorable, , Karate Band, 
6153, #6153, Green, Skeleton, Bone, Short, Angry, , Witch's Hat, 
6154, #6154, Purple, Emperor, Green, Small, Angry, , , 
6155, #6155, Green, Stark, Red, Long, Relaxed, , Forest Ranger, 
6156, #6156, Green, Crescent, Green, Small, Adorable, , Bow, 
6157, #6157, Green, Professor, White, Short, Side-eye, , , Jean Jacket
6158, #6158, Green, Crescent, Black, Small, Rainbow, , Halo, 
6159, #6159, Gray, Robot, Metal, Short, Open, , Rubber Duck, Hoodie Down
6160, #6160, Yellow, Crescent, Brown, Long, Relaxed, , Hero's Cap, Hero's Tunic
6161, #6161, Gray, Tranquil, Brown, Small, Relaxed, , , 
6162, #6162, Green, Tranquil, Gray, Long, Open, , , Hoodie Down
6163, #6163, Purple, Crescent, White, Small, Diamond, , , Hoodie
6164, #6164, Purple, Tranquil, Black, Small, Angry, , Queen's Crown, Diamond Necklace
6165, #6165, Green, Emperor, Blue, Small, Adorable, , , 
6166, #6166, Green, Stark, Red, Small, Discerning, Monocle, , 
6167, #6167, Yellow, Crescent, Purple, Short, Adorable, , Moon Hat, 
6168, #6168, Gray, Sage, Black, Small, Open, , Mohawk (Green), 
6169, #6169, Blue, Sage, Gray, Short, Discerning, , , 
6170, #6170, Yellow, Tranquil, Brown, Small, Moon, , , 
6171, #6171, Gray, Crescent, Black, Short, Angry, , Captain's Cap, 
6172, #6172, Green, Crescent, Red, Small, Relaxed, Eyepatch, , 
6173, #6173, Blue, Emperor, White, Small, , Gazelles, , 
6174, #6174, Purple, Crescent, Pink, Small, Open, , Lincoln, 
6175, #6175, Purple, Stark, Black, Small, , Gazelles, Moon Hat, 
6176, #6176, Green, Professor, Brown, Small, Open, , , 
6177, #6177, Purple, Tranquil, Red, Short, Relaxed, , Space Helmet, 
6178, #6178, Pink, Tabby, Brown, Small, Relaxed, , Flower, 
6179, #6179, Purple, Stark, Black, Short, Side-eye, , Aviator's Cap, 
6180, #6180, Pink, Crescent, Black, Short, Relaxed, , Lincoln, 
